,location,In_autonomy,Description
534,Kearny St. and Columbus Ave. Intersection,1,A Zoox vehicle in autonomous mode began to slow down during an unprotected left turn to yield for cross traffic entering the lane from the right. A passenger vehicle from behind did not slow and made contact with the rear sensors of the Zoox vehicle. There were no injuries and the police were not called.
535,Folsom St. near Essex St.,1,"A Zoox vehicle in autonomous mode was stopped on Folsom Street facing Essex Street, when a passenger vehicle from behind made contact with its rear sensors at low speed. The police were not called and there were no injuries."
537,11th Street and Harrison Street Intersection,1,"A Zoox vehicle in autonomous mode was stopped at a red traffic signal at the intersection of Harrison and 11th Streets in San Francisco with its left turn signal engaged. After the traffic signal changed to green and while waiting for an opening to turn left onto Harrison Street, the Zoox vehicle was struck by a passenger vehicle from behind. The driver of that passenger vehicle stated that he was using his phone and not paying attention. No police or emergency services were called to the scene. The Zoox driver, front passenger, and rear passenger reported minor injuries for which they later sought medical attention. The Zoox vehicle incurred minor damage to its rear sensors."
538,Harrison St. and 13th St.,0,"Zoox received an allegation regarding contact between a bicyclist and a Zoox vehicle at the intersection of Harrison and 13th Street in San Francisco. After a thorough search of available sensor data and other internal sources, Zoox was not able to identify any such incident, nor any additional related information including whether a Zoox vehicle was involved or in autonomy."
542,Santa Cruz Ave.,1,"A Zoox vehicle in autonomy had made a right turn from Oakdell Rd. onto Santa Cruz Ave. in Menlo Park, CA and was preparing to make an immediate, unprotected left turn onto Sharon Road. The Zoox vehicle was slowing and moving at approximately 2 mph with its brake lamps and left turn indicator illuminated, yielding to an oncoming vehicle with the right of way. A following vehicle - traveling at approximately 24 mph - then struck the Zoox vehicle's right rear bumper, and that vehicle's driver airbag appeared to have deployed on impact. The Zoox operator disengaged autonomy, proceeded with the left turn, and pulled over. The following vehicle continued its path of travel, veered out of the lane, and collided with a tree on the left side of the road. The Menlo Park Police Department was called to the scene. Two Zoox operators sustained minor injuries and it is unknown if the driver of the other vehicle sustained injuries."
543,On Kearny St. towards Bush St.,1,"A Zoox vehicle in autonomy was proceeding straight on Kearney Street in San Francisco, CA, in stop-and-go traffic. The Zoox vehicle came to a stop for a vehicle ahead when Vehicle Two made light contact with the Zoox vehicle's rear bumper from behind. There were no injuries and the police were not called."
544,Treat Ave. & Alameda St.,1,"A Zoox vehicle in autonomy was slowing for a right turn from Treat Ave. to Alameda St. in San Francisco, CA with its turn indicator and brake lights illuminated, when a following bicyclist struck the rear right corner of the Zoox vehicle. The Zoox vehicle camera bracket was damaged. Police were not called and no injuries were reported."
545,Folsom St. and Essex St. Intersection,1,"A Zoox vehicle in autonomous mode making a right turn onto Essex St, fro Folsom St., when a passenger vehicle in the left adjacent turn lane encroached into its lane and made contact with the left bumper and sensors of the Zoox vehicle. There were no injuries and the police were not called."
548,Pine St. near Powell St.,1,"A Zoox vehicle was in autonomy proceeding straight on Pine Street in San Francisco, CA when it encountered a double parked United States Postal Service van in lane (vehicle 2: model, year, VIN and insurance are unknown). The Zoox vehicle came to a complete stop while waiting for an opportunity to merge around vehicle 2. Vehicle 2 then rolled backwards into the Zoox vehicle, causing minor damage to front sensors and Vehicle 2 rear bumper. There were no injuries and first responders were not notified. Post incident review did not observe any brake lights or reverse lights on vehicle 2 while it was rolling backwards."
552,Folsom Street and 8th Street,1,"A Zoox vehicle in autonomy was proceeding straight on Folsom Street when a leading vehicle in the lane began to slow down prompting the Zoox vehicle to slow correspondingly. The Zoox vehicle, with brake lights illuminated, had slowed to 5 mph when it was struck from the rear by vehicle number 2. Zoox vehicle camera footage shows the driver of vehicle 2 holding their cellphone raised in their right hand. There were no injuries and police were not called."
553,11th St. and Harrison St. Intersection,1,"A Zoox vehicle in autonomy was fully stopped with brake lights illuminated in the left turn lane at a red traffic light waiting to complete a left hand turn from Harrison St. onto 11th St in San Francisco, Ca. As the light turned green, the Zoox vehicle appropriately yielded to oncoming traffic when Vehicle 2 attempted to make a lane change to the right and struck the rear of the Zoox vehicle. The Zoox vehicle incurred minor damage to the rear sensors and bumper. There were no injuries and police were not called."
554,On Capp Street at 24th Street,1,"A Zoox vehicle (Vehicle 1) in autonomy was stopped at a red traffic light on northbound Capp St at the intersection with 24th St in San Francisco. At that time, an SUV (Vehicle 2), heading southbound on Capp St, failed to stop for the red traffic light and entered the intersection, causing a collision with a passenger car (Vehicle 3) that was traveling eastbound on 24th Street. The SUV spun after making contact with the passenger car and collided with the stopped Zoox vehicle, damaging the front bumper on the driver’s side and driver’s side fender, mirror, and sensors on the Zoox vehicle. The police and EMS personnel were called to the scene. The driver of the SUV left the scene without exchanging information. The passenger car appeared to sustain significant damage to the front end. There were no reported injuries. ؆؆؆"
555,On Capp Street at 24th Street,1,"A Zoox vehicle (Vehicle 1) in autonomy was stopped at a red traffic light on northbound Capp St at the intersection with 24th St in San Francisco. At that time, an SUV (Vehicle 2), heading southbound on Capp St, failed to stop for the red traffic light and entered the intersection, causing a collision with a passenger car (Vehicle 3) that was traveling eastbound on 24th Street. The SUV spun after making contact with the passenger car and collided with the stopped Zoox vehicle, damaging the front bumper on the driver’s side and driver’s side fender, mirror, and sensors on the Zoox vehicle. The police and EMS personnel were called to the scene. The driver of the SUV left the scene without exchanging information. The passenger car appeared to sustain significant damage to the front end. There were no reported injuries. ؆؆؆"
558,On Stockton St near Union St,1,"A Zoox vehicle (Vehicle 1) in autonomy was traveling on southbound Stockton St near Union St in San Francisco. The Zoox vehicle slowed to a gradual stop with brake and hazard lights activated during a simulated pick up-drop off maneuver when it was rear-ended by a minivan (Vehicle 2). The rear bumper of the Zoox vehicle sustained minor damage. There were no reported injuries, and police were not called. Zoox vehicle camera footage shows that the driver of the minivan may not have been looking ahead at the roadway prior to and at the time of contact."
559,On Mission St at 9th St,1,"A Zoox vehicle (Vehicle 1) in autonomy, traveling northeast on Mission St, was stopped in lane for a red traffic light at 9th Street. A SamTrans bus (Vehicle 2), with a front-mounted triple-bike rack extending past the width of the bus on the driver's side, was traveling southeast on 9th Street and attempting a right turn onto Mission St. The protruding edge of the bike rack was encroaching into the Zoox vehicle's travel lane as the bus was executing the right hand turn. As the light turned green the Zoox vehicle inched forward and attempted to steer away from the bus. Just as the safety operator disengaged from autonomy, the protruding edge of the bike rack made contact with the driver's side fender on the Zoox vehicle. There were no reported injuries and the police were not called."
